Name,Typ,Adresse,Latitude,Longitude
Charlie Mixology Bar,cafe,"Viale Camillo Benso di Cavour, 58, 53100, Siena",43.3301331,11.319218
Bar Ciompi,cafe,"Via Mentana, 88, 53100, Siena",43.3308998,11.3142194
Bar Eden,cafe,"Viale Camillo Benso di Cavour, 202, 53100, Siena",43.3320969,11.3149163
Bar CEcco,cafe,"Viale Camillo Benso di Cavour, 248, 53100, Siena",43.3323563,11.313472
La Piccola Osteria,restaurant,"Viale Camillo Benso di Cavour, 81, 53100, Siena",43.3299099,11.3191694
Bar Mens Sana,cafe,"53100, Siena",43.333609,11.3132139
Capricci di Pizza,restaurant,"Viale Camillo Benso di Cavour, 236, 53100, Siena",43.3323388,11.3136208
E-Bike Travel Siena,bicycle,"Via Mentana, 38, 53100, Siena",43.3309573,11.3139379
Ristorante La Limonaia,restaurant,"Via Custoza, 2, 53100, Siena",43.3300386,11.3115343
Willy's,restaurant,"Viale Achille Sclavo, 33, 53100, Siena",43.3340331,11.3104564
Drinking_water,drinking_water,Adresse unbekannt,43.327895,11.314026
Ristorante Pizzeria Il Jolly,restaurant,"Via Fiorentina, 13, 53100, Siena",43.3348175,11.3088778
La Strana Coppia,restaurant,"Via Celso Cittadini, 6, 53100, Siena",43.3361748,11.3068305
Coop.fi,supermarket,"Via Celso Cittadini, 64, 53100, Siena",43.3371412,11.3058653
Drinking_water,drinking_water,Adresse unbekannt,43.3413934,11.3052213
Carrefour Market,supermarket,"Via delle Province, 28, 53100, Siena",43.3401458,11.3015289
Il Mestolo,restaurant,"Via Fiorentina, 81, 53100, Siena",43.3397105,11.305718
Bar Acquacalda,cafe,"Via delle Province, 14, 53100, Siena",43.3403515,11.3019842
Bottega di Rosaria,restaurant,"Via Fiorentina, 151, 53100, Siena",43.3423921,11.3058204
Pizzeria Poppi,restaurant,"Via Fiorentina, 105, 53100, Siena",43.3410813,11.3058273
Drinking_water,drinking_water,Adresse unbekannt,43.3445939,11.3002022
Bar Bagianni,cafe,"Via Val d'Aosta, 9, 53035, Siena",43.3465465,11.3051512
Osteria Alimentari Tanaliberatutti,restaurant,"Via Uopini, 1, 53035, Siena",43.3445996,11.2999646
